,Timestep,Photoperiod,PPFD,alpha,beta,DCG,DOP,CGR,TEB,P_GROSS,P_NET,T_LIGHT,VP_SAT,VP_AIR,RH,VPD,g_S,g_C,DTR
0,1,12,314.54,0.00691867456539118,0.0,0.09401183558487974,0.10153278243167013,2.820355067546392,8.53,0.0,1.088099948899071,24.87,2.3711147393183722,1.8748404243790369,0.7907,0.49627431493933544,0.027916141485769548,0.02760785952076913,0.1068173822434204
1,2,12,314.54,0.0076006751106541676,0.003011771283357833,0.103278946289983,0.11154126199318165,3.0983683886994897,11.628368388699489,0.9473225394673729,1.6690194443862676,24.84,2.3711147393183722,1.956593072267772,0.825178571,0.4145216670506003,0.046707020305669304,0.045850405968629326,0.14817598299571103
2,3,12,314.54,0.008282675655917155,0.006023542566715666,0.11254605699508628,0.1215497415546932,3.376381709852588,15.004750098552076,1.8946450789347458,2.2499389398734637,24.87,2.3711147393183722,1.9338698901396758,0.815595238,0.4372448491786965,0.061507488617189965,0.06003055709432486,0.20463714656644094
3,4,12,314.54,0.008964676201180143,0.009035313850073499,0.12181316770018956,0.13155822111620474,3.6543950310056865,18.659145129557764,2.8419676184021188,2.83085843536066,24.84,2.3711147393183722,1.9524718495949365,0.823440476,0.41864288972343583,0.07888840378728611,0.07647520116751924,0.24960411631355456
4,5,12,314.54,0.009646676746443133,0.012047085133431333,0.13108027840529285,0.1415667006777163,3.9324083521587854,22.59155348171655,3.7892901578694915,3.4117779308478573,24.85,2.3711147393183722,1.9201795265177666,0.809821429,0.4509352128006056,0.09193858940098322,0.08867743797725443,0.3117559010965768
5,6,12,314.54,0.01032867729170612,0.015058856416789166,0.14034738911039613,0.15157518023922784,4.210421673311884,26.801975155028433,4.736612697336865,3.992697426335054,24.87,2.3711147393183722,1.9318939619806155,0.814761905,0.43922077733775683,0.10892524257806122,0.10437750457581584,0.3574186264529091
6,7,12,314.54,0.011010677836969109,0.018070627700146998,0.1496144998154994,0.16158365980073935,4.488434994464982,31.290410149493415,5.6839352368042375,4.57361692182225,24.72,2.3711147393183722,1.9093401438361193,0.80525,0.46177459548225297,0.12183492186747001,0.11617333422797069,0.4182383823342885
7,8,12,314.54,0.011692678382232096,0.021082398983504832,0.15888161052060265,0.17159213936225087,4.766448315618079,36.056858465111496,6.63125777627161,5.154536417309447,24.87,2.3711147393183722,1.9223869205265647,0.810752381,0.44872781879180756,0.139225544203632,0.13188105930298802,0.4613736812220103
8,9,12,314.54,0.012374678927495084,0.024094170266862665,0.16814872122570595,0.18160061892376245,5.044461636771178,41.10132010188268,7.578580315738983,5.735455912796644,24.74,2.3711147393183722,1.9001605414719946,0.801378571,0.4709541978463776,0.15128493837467852,0.14265247030315512,0.5237757225631275
9,10,12,314.54,0.013056679472758072,0.0271059415502205,0.17741583193080923,0.191609098485274,5.3224749579242765,46.423795059806956,8.525902855206356,6.31637540828384,24.74,2.3711147393183722,1.9128968159450968,0.80675,0.4582179233732755,0.1688995897018911,0.15821088806937536,0.5651917796907917
10,11,12,314.54,0.01373868001802106,0.030117712833578333,0.1866829426359125,0.2016175780467855,5.600488279077376,52.02428333888433,9.47322539467373,6.897294903771037,24.07,2.3711147393183722,1.9678634548467,0.829931771,0.40325128447167213,0.1952331790732183,0.18109117662720287,0.5693252500548979
11,12,12,314.54,0.01442068056328405,0.03312948411693616,0.19595005334101578,0.21162605760829706,5.878501600230473,57.9027849391148,10.420547934141101,7.478214399258233,23.93,2.3711147393183722,1.882467510914216,0.793916667,0.48864722840415636,0.1934848155960908,0.17958595355332546,0.684156095102009
12,13,12,314.54,0.015102681108547036,0.036141255400293996,0.20521716404611903,0.22163453716980858,6.156514921383571,64.05929986049837,11.367870473608475,8.059133894745429,23.83,2.3711147393183722,1.8942242873729647,0.798875,0.47689045194540763,0.2112140999174779,0.19475970186558367,0.7241109650868609
13,14,12,314.54,0.015784681653810022,0.03915302668365183,0.21448427475122228,0.23164301673132007,6.434528242536667,70.49382810303504,12.315193013075847,8.640053390232627,23.89,2.3711147393183722,1.9120076479178523,0.806375,0.4591070914005199,0.2308157864550626,0.21130662456244448,0.7563355416027009
14,15,12,314.54,0.01646668219907301,0.042164797967009664,0.22375138545632559,0.24165149629283164,6.712541563689768,77.20636966672481,13.26251555254322,9.220972885719823,23.58,2.3711147393183722,1.9249623328829375,0.811838542,0.44615240643543475,0.24973768045455078,0.22705591357833396,0.7897751284165654
15,16,12,314.54,0.017148682744336,0.0451765692503675,0.23301849616142886,0.2516599758543432,6.990554884842865,84.19692455156768,14.209838092010594,9.80189238120702,23.88,2.3711147393183722,1.928173215845021,0.813192708,0.4429415234733511,0.266367653148729,0.24071967878667955,0.8312762753045007
16,17,12,314.54,0.017148682744336,0.0451765692503675,0.23301849616142886,0.2516599758543432,6.990554884842865,91.18747943641054,14.209838092010594,9.80189238120702,24.09,2.3711147393183722,1.9338540131553812,0.815588542,0.437260726162991,0.2679538537521042,0.24201437949270627,0.8250286649483702
17,18,12,314.54,0.017148682744336,0.0451765692503675,0.23301849616142886,0.2516599758543432,6.990554884842865,98.1780343212534,14.209838092010594,9.80189238120702,24.21,2.3711147393183722,1.9438324535596412,0.819796875,0.4272822857587311,0.27074004859857675,0.24428495983908288,0.8137650112958649
18,19,12,314.54,0.017148682744336,0.0451765692503675,0.23301849616142886,0.2516599758543432,6.990554884842865,105.16858920609627,14.209838092010594,9.80189238120702,24.03,2.3711147393183722,1.9432273261092492,0.819541667,0.42788741320912305,0.27057108401940055,0.24414739399762134,0.8144585748838159
19,20,12,314.54,0.017148682744336,0.0451765692503675,0.23301849616142886,0.2516599758543432,6.990554884842865,112.15914409093914,14.209838092010594,9.80189238120702,23.73,2.3711147393183722,1.884739828415691,0.794875,0.4863749109026811,0.2542401186525784,0.23077156284485198,0.8750660827928113
20,21,12,314.54,0.017148682744336,0.0451765692503675,0.23301849616142886,0.2516599758543432,6.990554884842865,119.149698975782,14.209838092010594,9.80189238120702,24.02,2.3711147393183722,1.9231885825643544,0.811090476,0.4479261567540179,0.26497583649246875,0.23958241605160452,0.836659525128154
21,22,12,314.54,0.017148682744336,0.0451765692503675,0.23301849616142886,0.2516599758543432,6.990554884842865,126.14025386062487,14.209838092010594,9.80189238120702,24.02,2.3711147393183722,1.9231885825643544,0.811090476,0.4479261567540179,0.26497583649246875,0.23958241605160452,0.836659525128154
22,23,12,314.54,0.017148682744336,0.0451765692503675,0.23301849616142886,0.2516599758543432,6.990554884842865,133.13080874546773,14.209838092010594,9.80189238120702,24.02,2.3711147393183722,1.9231885825643544,0.811090476,0.4479261567540179,0.26497583649246875,0.23958241605160452,0.836659525128154
